sgRNA	Gene	D9_rep1_SSEA5_hi	D9_rep1_SSEA5_low	D9_rep2_SSEA5_hi	D9_rep2_SSEA5_low	D9_rep3_SSEA5_hi	D9_rep3_SSEA5_low
EpiKDlib_NO-TARGET_1210	NO-TARGET	294	136	270	333	296	80
EpiKDlib_MBD4_1033	MBD4	737	293	496	335	723	149
EpiKDlib_EYA3_619	EYA3	1052	278	757	408	1021	143
EpiKDlib_RBX1_1543	RBX1	130	80	117	69	102	30
EpiKDlib_ASH1L_115	ASH1L	698	292	503	309	604	149
EpiKDlib_CHD8_377	CHD8	1007	302	701	455	883	147
EpiKDlib_NEK6_1175	NEK6	431	298	287	322	578	125
EpiKDlib_ING5_835	ING5	253	502	166	642	168	170
EpiKDlib_HDAC7_735	HDAC7	520	261	453	347	528	165
EpiKDlib_DNMT3A_488	DNMT3A	700	320	418	312	532	102
EpiKDlib_TAF5L_1905	TAF5L	255	373	309	507	178	131
EpiKDlib_DOT1L_501	DOT1L	382	294	362	475	318	100
EpiKDlib_CBX6_291	CBX6	567	323	494	474	511	111
EpiKDlib_PHF14_1353	PHF14	216	242	226	297	190	105
EpiKDlib_HLTF_773	HLTF	453	276	403	325	486	116
EpiKDlib_SCML2_1640	SCML2	150	95	114	132	161	37
EpiKDlib_IKZF1_816	IKZF1	516	258	570	310	438	90
EpiKDlib_ACTL6B_10	ACTL6B	638	504	590	461	698	206
EpiKDlib_PHF14_1351	PHF14	548	344	459	408	481	164
EpiKDlib_SMARCC2_1757	SMARCC2	727	308	460	445	708	161
EpiKDlib_CDK3_319	CDK3	468	360	341	469	407	90
EpiKDlib_PCNA_1322	PCNA	255	137	263	166	343	45
EpiKDlib_CDK5_324	CDK5	414	252	333	305	377	107
EpiKDlib_DND1_481	DND1	433	314	341	313	459	130
EpiKDlib_EYA4_621	EYA4	918	567	760	567	701	199
EpiKDlib_TOP2B_1986	TOP2B	860	408	605	669	758	182
EpiKDlib_HDAC10_716	HDAC10	438	287	343	372	339	104
EpiKDlib_SCMH1_1636	SCMH1	627	282	525	472	615	157
EpiKDlib_HR_801	HR	414	243	229	278	290	120
EpiKDlib_SYNCRIP_1866	SYNCRIP	549	117	331	126	542	65
EpiKDlib_STK4_1830	STK4	463	205	475	242	595	64
EpiKDlib_C17orf49_271	C17orf49	372	274	295	406	464	138
EpiKDlib_SMEK2_1779	SMEK2	190	197	174	176	205	64
EpiKDlib_TNP2_1979	TNP2	370	158	323	187	374	63
EpiKDlib_SP140_1802	SP140	597	200	407	301	572	110
EpiKDlib_ZBTB7C_2163	ZBTB7C	551	204	300	365	375	119
EpiKDlib_GLYR1_688	GLYR1	233	236	264	233	281	110
EpiKDlib_TDRD3_1932	TDRD3	803	540	706	865	816	193
EpiKDlib_PRKAG2_1460	PRKAG2	289	87	316	243	359	88
EpiKDlib_TP53BP1_1993	TP53BP1	839	453	681	504	864	158
EpiKDlib_BAZ2A_193	BAZ2A	319	352	263	406	251	156
EpiKDlib_APOBEC3H_86	APOBEC3H	571	251	390	298	507	90
EpiKDlib_ENY2_566	ENY2	241	67	186	76	253	42
EpiKDlib_SATB1_1632	SATB1	427	177	349	275	427	82
EpiKDlib_NO-TARGET_1199	NO-TARGET	586	457	466	559	511	209
EpiKDlib_ZNF711_2210	ZNF711	193	154	170	214	282	113
EpiKDlib_TAF6_1910	TAF6	362	209	392	383	526	85
EpiKDlib_HMG20B_777	HMG20B	398	124	275	196	304	49
EpiKDlib_UHRF2_2065	UHRF2	460	245	324	335	436	105
EpiKDlib_MSL3_1102	MSL3	552	228	438	406	530	122
EpiKDlib_DNMT1_485	DNMT1	385	148	325	204	352	99
EpiKDlib_KDM5C_949	KDM5C	525	350	307	522	514	182
EpiKDlib_MLLT10_1072	MLLT10	529	423	420	384	468	123
EpiKDlib_CRB2_407	CRB2	247	339	326	322	340	152
EpiKDlib_CTCFL_424	CTCFL	552	245	451	298	538	129
EpiKDlib_MGA_1062	MGA	674	245	505	260	568	95
EpiKDlib_PRDM12_1411	PRDM12	788	563	659	628	681	199
EpiKDlib_SMARCA4_1739	SMARCA4	575	144	394	260	480	80
EpiKDlib_CUL4B_444	CUL4B	460	357	419	454	411	160
EpiKDlib_TLE1_1959	TLE1	1045	258	825	353	880	134
EpiKDlib_HDAC7_737	HDAC7	436	245	265	310	344	122
EpiKDlib_TSSK6_2014	TSSK6	599	329	476	453	464	118
EpiKDlib_NO-TARGET_1233	NO-TARGET	423	240	411	272	473	130
EpiKDlib_SMARCA5_1742	SMARCA5	668	363	541	604	641	188
EpiKDlib_TSSK6_2013	TSSK6	551	512	472	636	471	176
EpiKDlib_MAP3K7_1008	MAP3K7	553	243	457	281	392	121
EpiKDlib_MRGBP_1089	MRGBP	366	210	356	451	443	148
EpiKDlib_TLE2_1964	TLE2	174	51	151	100	195	21
EpiKDlib_USP44_2099	USP44	381	116	315	147	377	61
EpiKDlib_ATM_142	ATM	455	198	387	361	448	102
EpiKDlib_SMYD1_1781	SMYD1	509	306	388	464	526	148
EpiKDlib_ATN1_146	ATN1	198	92	221	189	312	42
EpiKDlib_HCFC1_705	HCFC1	608	339	496	472	560	118
EpiKDlib_PRDM9_1442	PRDM9	462	330	337	282	392	119
EpiKDlib_CDK5_323	CDK5	420	299	300	314	425	111
EpiKDlib_BCORL1_202	BCORL1	565	377	365	404	521	154
EpiKDlib_BRDT_242	BRDT	595	299	482	415	655	148
EpiKDlib_HMGN3_789	HMGN3	624	291	531	369	684	134
EpiKDlib_NSD1_1250	NSD1	276	96	237	199	235	76
EpiKDlib_PRDM1_1407	PRDM1	359	268	301	349	275	96
EpiKDlib_NO-TARGET_1191	NO-TARGET	580	334	501	376	693	114
EpiKDlib_PRKCB_1470	PRKCB	519	260	517	306	613	88
EpiKDlib_HDAC1_711	HDAC1	789	403	640	630	677	209
EpiKDlib_JADE3_858	JADE3	703	399	374	428	564	160
EpiKDlib_EYA4_623	EYA4	1166	934	865	1098	1264	405
EpiKDlib_ZFP57_2170	ZFP57	368	164	254	285	367	53
EpiKDlib_USP12_2074	USP12	340	228	210	327	297	121
EpiKDlib_PRKAG2_1459	PRKAG2	793	507	540	386	624	124
EpiKDlib_EP300_567	EP300	820	536	620	842	807	348
EpiKDlib_PRDM4_1428	PRDM4	581	255	410	333	450	111
EpiKDlib_SYNCRIP_1867	SYNCRIP	628	88	450	113	609	60
EpiKDlib_PIWIL4_1377	PIWIL4	698	863	519	365	582	306
EpiKDlib_TP53_1991	TP53	1532	678	1227	677	2202	324
EpiKDlib_AICDA_31	AICDA	679	330	424	421	531	177
EpiKDlib_BCOR_198	BCOR	594	409	347	599	405	156
EpiKDlib_TDRD7_1937	TDRD7	392	205	252	274	405	108
