sgRNA	Gene	D9_rep1_SSEA5_hi	D9_rep1_SSEA5_low	D9_rep2_SSEA5_hi	D9_rep2_SSEA5_low	D9_rep3_SSEA5_hi	D9_rep3_SSEA5_low
EpiKDlib_UBE2E1_2035	UBE2E1	619.917846961564	502.28562393115675	488.4237803487833	498.43111829660006	510.15789587296257	647.4984174901292
EpiKDlib_GADD45B_668	GADD45B	434.7563893898934	490.972884653428	343.5523200758391	555.0911388489667	354.11798079450057	433.3069257728622
EpiKDlib_ZMYND8_2188	ZMYND8	473.4164739378246	459.2972146757875	318.71721260047724	251.42884120112686	453.1570136525198	258.50697276221894
EpiKDlib_EYA3_620	EYA3	913.5988401063751	541.8802114032075	827.00907892955	439.1151592808413	934.1019573875055	571.1773112460456
EpiKDlib_EID2_543	EID2	193.30042273965617	150.45943239379247	256.6294439120726	260.28196941243414	307.8047639903908	147.71827014983938
EpiKDlib_USP21_2086	USP21	435.43463648722553	348.4323697540457	465.2443467051122	405.4732720778736	300.6796537128355	307.7463961454987
EpiKDlib_NASP_1143	NASP	189.23094015566343	167.42854131038558	225.99947802579294	200.96601039667536	190.24044441072766	160.02812599565934
EpiKDlib_HDAC4_728	HDAC4	223.14329502226977	303.18141264313067	180.4684476542962	242.57571298981958	177.41524591112804	167.4140395031513
EpiKDlib_AURKA_159	AURKA	30.521119379945713	30.544396049867643	28.97429205458884	25.674071812791123	19.950308777154962	7.385913507491969
EpiKDlib_ARID1B_92	ARID1B	170.918268527696	221.7296898434836	167.22305700076987	178.83318986840715	145.352249662129	115.71264495070751
EpiKDlib_ZNF541_2200	ZNF541	440.86061326588253	469.47868002574336	388.25551353149046	491.34861572755426	388.3185101267662	457.92663746450205
EpiKDlib_SUPT16H_1836	SUPT16H	367.6099267540128	407.2586139982352	371.69877521458255	307.20354893236276	297.1170985740578	423.4590410962062
EpiKDlib_EZH1_626	EZH1	226.5345305089304	390.28950508164206	189.57465372859556	259.39665659130344	213.7533083266603	354.5238483596145
